period_num,btc_price_usd,exchange_rate_btc_per_stbtc,stbtc_assets_btc,stbtc_supply,fees_total_btc,weighted_gas_score,weighted_mbar,weighted_k,weighted_s_eff,weighted_fee_return_period,weighted_fee_apy_annualized,stbtc_return_period,stbtc_apy_annualized
1,79739.85023475386,0.932759669837012,9384442.25891121,10060943.415950887,549.4867371962306,83995319141.85268,1.6728135574643848,0.5,0.6682033893660961,3.671689002062386e-05,0.00044069166771887325,-0.06724033016298803,-0.5662523644800548
2,91698.8541267479,0.8700494697586922,8806865.416122647,10122258.241896551,695.1927333122383,97033184066.12408,1.6728135574643848,0.5,0.6682033893660961,4.950002651684633e-05,0.0005941620615614873,-0.06723082280055859,-0.5661993086634929
3,134088.4519610956,0.8115659210510395,8264944.117067384,10183946.74133637,868.1637880065928,113712866730.97226,1.6728135574643848,0.5,0.6682033893660961,6.587019992481233e-05,0.0007907288282769098,-0.06721864760617935,-0.5661313563290697
4,64909.098834456985,0.7570144448357644,7756378.47396305,10246011.191564264,832.9276943479404,102510330611.63327,1.672813557464385,0.5,0.6682033893660962,6.73404563390642e-05,0.0008083848359077273,-0.0672175541139367,-0.5661252528401364
5,106203.04586294528,0.7061189933380697,7278995.079267412,10308453.883752758,559.175811217187,59462302469.91243,1.6728135574643848,0.5,0.6682033893660961,4.817237497643035e-05,0.000578221682441038,-0.06723181023148983,-0.5662048192966115
6,121376.03745350274,0.6586774710724081,6831326.587193504,10371277.123037565,1191.3406558547135,142422894197.1149,1.6728135574643848,0.5,0.6682033893660961,0.00010936370411887488,0.0013131541249715717,-0.06718629963682043,-0.5659507680685969
7,200733.74607003236,0.6143947401350647,6410891.611681038,10434483.228602685,520.6138413037119,66266031017.17704,1.6728135574643845,0.5,0.6682033893660961,5.092362791762823e-05,0.0006112547163148463,-0.06722976400763447,-0.5661933997036193
8,232216.96935684793,0.5730951171423518,6016395.254697775,10498074.533766015,614.3477951865268,88692952360.84094,1.672813557464385,0.5,0.6682033893660962,6.403310239175661e-05,0.0007686679021923215,-0.06722001393376809,-0.5661389825782916
9,500735.4087070327,0.5346110420509623,5646590.366922365,10562053.386065487,1408.5518848148763,206301890904.96786,1.672813557464385,0.5,0.6682033893660962,0.00015643904758358225,0.0018788846431740946,-0.06715128770121837,-0.5657552301001469
10,248302.6512604549,0.4986800726069868,5299184.967990863,10626422.147345733,659.9570119880153,88612958797.59735,1.6728135574643845,0.5,0.6682033893660961,7.809766311889724e-05,0.0009375746124089535,-0.06720955352162428,-0.5660805939543652
11,822968.7126879233,0.4651964836402699,4973500.827730771,10691183.193845274,1313.768367227944,177571560594.29727,1.6728135574643845,0.5,0.6682033893660961,0.0001656602819351121,0.001989735643488144,-0.06714442947694355,-0.5657169181842856
12,1825466.9105172371,0.4339544849527126,4667761.514392946,10756338.916284239,1090.047562812994,141406277307.91254,1.672813557464385,0.5,0.6682033893660962,0.00014645086052478368,0.0017588265759591604,-0.06715871634084902,-0.5657967250167033
