period_num,btc_price_usd,exchange_rate_btc_per_stbtc,stbtc_assets_btc,stbtc_supply,fees_total_btc,weighted_gas_score,weighted_mbar,weighted_k,weighted_s_eff,weighted_fee_return_period,weighted_fee_apy_annualized,stbtc_return_period,stbtc_apy_annualized
1,79739.85023475386,1.6686740237731286,1762.2771944735093,1056.0943415950885,647.7208858384962,103792867143.76698,1.7535949143046523,0.5,0.688398728576163,0.4458902342834468,82.48796848323244,0.6686740237731286,465.0774209288597
2,91698.8541267479,2.640126998250313,2944.6267276681147,1115.3352583491635,819.4753805107445,119903733746.20123,1.753594914304652,0.5,0.688398728576163,0.32011184835856643,27.01100866080309,0.5821706100994968,245.05928359689568
3,134088.4519610956,4.030298011051748,4747.2850259518455,1177.8992553240478,1023.3692275992431,140514788082.5631,1.7535949143046523,0.5,0.688398728576163,0.23924461070866526,12.11850867396997,0.5265545989729816,159.15780328627426
4,64909.098834456985,5.883964327143094,7319.491217371327,1243.9727385167953,981.8338232789746,126671834034.8007,1.753594914304652,0.5,0.688398728576163,0.14237467350779104,3.9397252572266828,0.4599328166324883,92.75500254210057
5,106203.04586294528,8.264912347154091,10858.049838932697,1313.7525702461342,659.1421180229729,73477461879.74039,1.7535949143046519,0.5,0.688398728576163,0.061992368393191596,1.0580539270361378,0.40465031526916917,57.995468185983555
6,121376.03745350274,11.763019233753113,16320.56169672256,1387.4466556929463,1404.3218383814408,175991718189.28427,1.7535949143046525,0.5,0.6883987285761631,0.08903379358116392,1.7828915211863832,0.42324791112921445,68.0822797313262
7,200733.74607003236,16.230823272684095,23782.61246733821,1465.2745623423496,613.6862559952898,81884817199.09914,1.753594914304652,0.5,0.688398728576163,0.02588518987411201,0.3588925646800667,0.37981779593719867,46.62784181252171
8,232216.96935684793,22.340618996395392,34571.39688824606,1547.468174172975,724.1774390071193,109597724194.96959,1.7535949143046523,0.5,0.688398728576163,0.020961651246711767,0.28266473967840366,0.3764316585218366,45.244047253589024
9,500735.4087070327,30.936249907541114,50558.25884332933,1634.272382542562,1660.3648692906688,254926881318.76947,1.753594914304652,0.5,0.688398728576163,0.03306181317136277,0.4774598891955486,0.38475348031012957,48.71295558517482
10,248302.6512604549,42.36101503691587,73112.81665720565,1725.9458158283235,777.9404150887606,109498876290.50388,1.7535949143046523,0.5,0.688398728576163,0.010592397857581159,0.13478169963292141,0.3693002598414432,42.4494503482868
11,822968.7126879233,58.12115961615574,105941.01847677918,1822.7616099960112,1548.6364874782937,219424863023.01276,1.7535949143046523,0.5,0.688398728576163,0.014581292825922671,0.18971299339187708,0.37204360106823575,43.505629911542385
12,1825466.9105172371,79.49565822184086,153029.79572163036,1925.008222393541,1284.9201358233802,174735486499.29102,1.753594914304652,0.5,0.688398728576163,0.008349338155707877,0.10492350118689453,0.3677576075021003,41.865675124664186
