period_num,btc_price_usd,exchange_rate_btc_per_stbtc,stbtc_assets_btc,stbtc_supply,fees_total_btc,weighted_gas_score,weighted_mbar,weighted_k,weighted_s_eff,weighted_fee_return_period,weighted_fee_apy_annualized,stbtc_return_period,stbtc_apy_annualized
1,79739.85023475386,1.2138516965984179,392.9967410467054,323.760095362557,71.32576095777105,13382295545.224743,2.0532123729445653,0.5,0.7633030932361413,0.1814772465549608,6.397829987801586,0.21385169659841785,9.232636719743363
2,91698.8541267479,1.468861066200947,513.222991066157,349.4019978305734,90.23903100704055,15459513222.089096,2.053212372944565,0.5,0.7633030932361412,0.17526794577189678,5.944527411897262,0.21008280526949297,8.857824412905988
3,134088.4519610956,1.7706097428372445,667.6522210373821,377.0747471249813,112.69142387587374,18116952294.90928,2.0532123729445653,0.5,0.7633030932361413,0.167602998936093,5.420109293565788,0.20543037294652966,8.412512393182881
4,64909.098834456985,2.0870636018506614,849.3079652708897,406.9391869599867,108.11762614199841,16332142727.701496,2.053212372944565,0.5,0.7633030932361412,0.12360704550538054,3.0492393166819136,0.17872592212574623,6.19372801734528
5,106203.04586294528,2.3861283651358502,1047.9133691919903,439.1688999230891,72.58344477566834,9473648217.325693,2.0532123729445657,0.5,0.7633030932361414,0.06523330779940498,1.1347000015436186,0.14329451341109078,3.987666792602562
6,121376.03745350274,2.7967091223691094,1325.5036904579297,473.95121639789534,154.641182555826,22691089003.820244,2.0532123729445653,0.5,0.7633030932361413,0.11264107936476836,2.5996566976969007,0.17206985308599831,5.721124600882238
7,200733.74607003236,3.1527866019004094,1612.6134699691909,511.48830339394164,67.57793388355184,10557631314.945831,2.0532123729445657,0.5,0.7633030932361414,0.03891535447177976,0.5811096116250742,0.12732016951039382,3.2127659086288043
8,232216.96935684793,3.551962060655987,1960.6771598475746,551.9983396121835,79.74500751008935,14130731490.725452,2.0532123729445653,0.5,0.7633030932361413,0.037745939765561703,0.5598847571111008,0.12661036383336755,3.181045604153164
9,500735.4087070327,4.073757755401244,2426.8058671156004,595.7167835760456,182.8361418613197,32868413428.68785,2.0532123729445657,0.5,0.7633030932361414,0.07117918007927261,1.2821567745928277,0.14690351018245118,4.179914402898393
10,248302.6512604549,4.5628288078687955,2933.432338618738,642.8977421988542,85.6652816037885,14117986762.614668,2.0532123729445653,0.5,0.7633030932361413,0.026944295510886906,0.37582324225750496,0.12005403409643356,2.898232114806911
11,822968.7126879233,5.158886897635694,3579.3154227347127,693.8154477422455,170.53283031527977,28291042031.598328,2.0532123729445653,0.5,0.7633030932361413,0.044374037595583074,0.683731373643945,0.1306334545663801,3.3637712934543442
12,1825466.9105172371,5.788345048679393,4334.115110598182,748.7658517501487,141.49289989147695,22529119648.782772,2.0532123729445653,0.5,0.7633030932361413,0.030173917468161844,0.42865248064677264,0.1220143343968596,2.980896293378313
