period_num,btc_price_usd,exchange_rate_btc_per_stbtc,stbtc_assets_btc,stbtc_supply,fees_total_btc,weighted_gas_score,weighted_mbar,weighted_k,weighted_s_eff,weighted_fee_return_period,weighted_fee_apy_annualized,stbtc_return_period,stbtc_apy_annualized
1,79739.85023475386,2.3220515097157577,751.7876182223432,323.760095362557,737.475134579573,133574036936.64102,1.9820944218895922,0.5,0.745523605472398,1.8326837375933507,266916.51404412225,1.3220515097157577,24572.227012653344
2,91698.8541267479,4.082467742653734,1426.422385362086,349.4019978305734,933.0295343872788,154307576242.9023,1.9820944218895924,0.5,0.7455236054723982,0.9252553854683367,2592.344204834197,0.7581297079639155,871.1896921219815
3,134088.4519610956,6.375108163840474,2403.8922987745505,377.0747471249813,1165.1768151205267,180832537051.7689,1.9820944218895924,0.5,0.7455236054723982,0.6089828855293776,300.03507159630317,0.5615820052252145,209.2701136770117
4,64909.098834456985,8.916106583111711,3628.3131637800648,406.9391869599867,1117.8858776803147,163017639880.39734,1.9820944218895924,0.5,0.7455236054723982,0.3466920337736254,34.58111007133534,0.39858122465807644,55.0082914720229
5,106203.04586294528,11.403337776844106,5007.99130690803,439.1688999230891,750.4789992479289,94560266781.53549,1.9820944218895924,0.5,0.7455236054723982,0.15420383635455892,4.589721391053192,0.2789593384228426,18.154942278610523
6,121376.03745350274,15.178418625977075,7193.829970778306,473.95121639789534,1598.9177736837985,226488822525.70163,1.9820944218895924,0.5,0.7455236054723982,0.23802576131599032,11.964512205842114,0.33105051547264863,29.92676222789913
7,200733.74607003236,18.641062236500492,9534.685296808511,511.48830339394164,698.724348905135,105379935038.81541,1.9820944218895922,0.5,0.745523605472398,0.07241142728464456,1.3138606290989365,0.22812940503546808,10.7741498108629
8,232216.96935684793,22.801642388862728,12586.468739083008,551.9983396121835,824.5262210433489,141044475045.796,1.9820944218895924,0.5,0.7455236054723982,0.0644702726921176,1.1164228880963556,0.2231943705555326,10.218781356999973
9,500735.4087070327,28.563984931858904,17016.045229721618,595.7167835760456,1890.440515664712,328072762594.08057,1.9820944218895924,0.5,0.7455236054723982,0.1119748563624634,2.573877041925324,0.252716117756971,13.935920124769252
10,248302.6512604549,34.48375182066337,22169.52618805011,642.8977421988542,885.7390966631928,140917264824.077,1.9820944218895922,0.5,0.745523605472398,0.038806867044453165,0.5791294845733772,0.20724583432341204,8.584039306102548
11,822968.7126879233,42.069413247262666,29188.408788403103,693.8154477422455,1763.230006917918,282384190405.4522,1.9820944218895924,0.5,0.7455236054723982,0.059294437819024284,0.9961827694973628,0.21997784539366183,9.8698444260811
12,1825466.9105172371,50.750476244717056,38000.223572101255,748.7658517501487,1462.970657281886,224872141699.95947,1.9820944218895924,0.5,0.7455236054723982,0.03736685911944797,0.5530607107108179,0.2063509406806201,8.49913383093528
