period_num,btc_price_usd,exchange_rate_btc_per_stbtc,stbtc_assets_btc,stbtc_supply,fees_total_btc,weighted_gas_score,weighted_mbar,weighted_k,weighted_s_eff,weighted_fee_return_period,weighted_fee_apy_annualized,stbtc_return_period,stbtc_apy_annualized
1,79739.85023475386,1.7111675043297592,1807.1543188440478,1056.0943415950885,737.475134579573,133574036936.64102,1.9820944218895922,0.5,0.745523605472398,0.5498051212780052,191.0105537236008,0.7111675043297592,629.2462798503565
2,91698.8541267479,2.7489096118063623,3065.955812062548,1115.3352583491635,933.0295343872788,154307576242.9023,1.9820944218895924,0.5,0.7455236054723982,0.38491208815723993,48.78132732676839,0.6064526733068558,294.4032215120128
3,134088.4519610956,4.238656731116324,4992.71060715618,1177.8992553240478,1165.1768151205267,180832537051.7689,1.9820944218895924,0.5,0.7455236054723982,0.28332659485954115,18.954751917136544,0.5419411074527909,179.63979854673167
4,64909.098834456985,6.222436611485072,7740.541511836253,1243.9727385167953,1117.8858776803147,163017639880.39734,1.9820944218895924,0.5,0.7455236054723982,0.1669254189979199,5.375543328303874,0.46802088638262673,99.18133506135437
5,106203.04586294528,8.760678636917206,11509.364076350377,1313.7525702461342,750.4789992479289,94560266781.53549,1.9820944218895924,0.5,0.7455236054723982,0.0722817400430045,1.3105050658738078,0.4079176991127831,59.663466335962816
6,121376.03745350274,12.508387910116426,17354.720974001117,1387.4466556929463,1598.9177736837985,226488822525.70163,1.9820944218895924,0.5,0.7455236054723982,0.10357053053348528,2.2628802567994204,0.42778755259969237,70.77333023986834
7,200733.74607003236,17.275044686192917,25312.683542005856,1465.2745623423496,698.724348905135,105379935038.81541,1.9820944218895922,0.5,0.745523605472398,0.030015780524935365,0.4260230361808053,0.38107682703231127,47.15197003553615
8,232216.96935684793,23.795288173738395,36822.45114413474,1547.468174172975,824.5262210433489,141044475045.796,1.9820944218895924,0.5,0.7455236054723982,0.02428441694452037,0.3336651015852721,0.37743714161022024,45.65105514410653
9,500735.4087070327,32.987922571982956,53911.25081684414,1634.272382542562,1890.440515664712,328072762594.08057,1.9820944218895924,0.5,0.7455236054723982,0.038274693437781816,0.5694490645576222,0.3863216251522428,49.39274012305343
10,248302.6512604549,45.186653662759625,77989.71582052356,1725.9458158283235,885.7390966631928,140917264824.077,1.9820944218895922,0.5,0.745523605472398,0.012248638175649423,0.15730122807208335,0.36979385604406634,42.637771831850806
11,822968.7126879233,62.028587868330106,113063.32868865643,1822.7616099960112,1763.230006917918,282384190405.4522,1.9820944218895924,0.5,0.7455236054723982,0.016855165815191236,0.22210688618847607,0.37271921774217787,43.769326904737056
12,1825466.9105172371,84.86388234631261,163363.67130088984,1925.008222393541,1462.970657281886,224872141699.95947,1.9820944218895924,0.5,0.7455236054723982,0.009646621692171556,0.12210308772217338,0.36814145320308844,42.01025535254115
