period_num,btc_price_usd,exchange_rate_btc_per_stbtc,stbtc_assets_btc,stbtc_supply,fees_total_btc,weighted_gas_score,weighted_mbar,weighted_k,weighted_s_eff,weighted_fee_return_period,weighted_fee_apy_annualized,stbtc_return_period,stbtc_apy_annualized
1,79739.85023475386,0.9327716914562263,9384563.207741892,10060943.415950887,791.3843985614931,154269285861.04633,2.1332495088793046,0.5,0.7833123772198262,6.199011945318855e-05,0.0007441351089967352,-0.06722830854377371,-0.5661852768640574
2,91698.8541267479,0.8700757999437106,8807131.93705496,10122258.241896551,1001.2337803526518,178215169174.17886,2.133249508879305,0.5,0.7833123772198263,8.357115779174785e-05,0.0010033149750687809,-0.06721461648845273,-0.5661088556586036
3,134088.4519610956,0.8116092442647093,8265385.31836806,10183946.74133637,1250.3509743113375,208849765951.52313,2.133249508879305,0.5,0.7833123772198263,0.00011120707638387543,0.0013353014421604303,-0.06719708292402093,-0.5660109753312437
4,64909.098834456985,0.75707274736668,7756975.842347307,10246011.191564264,1199.6030801401434,188274723620.36206,2.133249508879305,0.5,0.7833123772198263,0.00011368664668743252,0.0013650931107322961,-0.06719550976460054,-0.5660021922507941
5,106203.04586294528,0.7061853138573367,7279678.741281823,10308453.883752758,805.3388427684947,109210930220.9455,2.133249508879305,0.5,0.7833123772198263,8.132446151921494e-05,0.0009763301586704909,-0.06721604190131603,-0.566116812071703
6,121376.03745350274,0.6587646145068222,6832230.375901266,10371277.123037565,1715.7982979282442,261579792809.0074,2.133249508879305,0.5,0.7833123772198263,0.00018462436205574214,0.002217743415968698,-0.06715050344433304,-0.5657508491836583
7,200733.74607003236,0.6144870038333367,6411854.335693265,10434483.228602685,749.8009393005468,121706940176.05183,2.133249508879305,0.5,0.7833123772198263,8.596436652323703e-05,0.0010320602696363146,-0.06721309812099363,-0.5661003802415889
8,232216.96935684793,0.5731940554656653,6017433.916590165,10498074.533766015,884.798899573156,162897153810.52768,2.133249508879305,0.5,0.7833123772198263,0.00010809258805646249,0.0012978824790974564,-0.06719905890616851,-0.5660220071737669
9,500735.4087070327,0.534732679139183,5647875.104341877,10562053.386065487,2028.6312857971652,378902606798.178,2.1332495088793046,0.5,0.7833123772198262,0.0002640746898107593,0.0031735028706771917,-0.06710009631072689,-0.5654691862365155
10,248302.6512604549,0.49880719759809933,5300535.851811902,10626422.147345733,950.4864224267183,162750234315.47546,2.1332495088793046,0.5,0.7833123772198262,0.00013182440569443104,0.0015830402989394088,-0.06718400229235433,-0.5659379401166782
11,822968.7126879233,0.4653421053786851,4975057.696413174,10691183.193845274,1892.121717901462,326135290894.6103,2.133249508879305,0.5,0.7833123772198263,0.000279617457984369,0.0033605745794187403,-0.06709023522627244,-0.5654140652852783
12,1825466.9105172371,0.434112617252424,4669462.439002253,10756338.916284239,1569.9134783522854,259712632077.98297,2.1332495088793046,0.5,0.7833123772198262,0.00024717957736332684,0.0029701907037420483,-0.06711081538784724,-0.5655290958788785
