period_num,btc_price_usd,exchange_rate_btc_per_stbtc,stbtc_assets_btc,stbtc_supply,fees_total_btc,weighted_gas_score,stbtc_return_period,stbtc_apy_annualized
1,37049.476095882324,0.9327727784342227,9384574.143766008,10060943.415950887,813.2564467945433,153533797689.19824,-0.06722722156577732,-0.5661792104267696
2,33227.774888235195,0.8700781806822158,8807156.035504915,10122258.241896551,1028.905583810287,177365517552.0823,-0.06721315115697069,-0.5661006762871235
3,39216.15323459913,0.8116131614890992,8265425.211172621,10183946.74133637,1284.9078051865604,207854062032.28067,-0.06719513313996095,-0.5660000894997982
4,13083.617753530658,0.7570780189999858,7757029.855561158,10246011.191564264,1232.7573557071546,187377112462.65262,-0.0671935166613804,-0.5659910643550445
5,17557.694677028452,0.7061913104659358,7279740.557045025,10308453.883752758,827.5965598084053,108690260490.96191,-0.06721461627067926,-0.5661088544430187
6,15635.41907785353,0.6587724938942867,6832312.09521222,10371277.123037565,1763.2190244407807,260332695290.32962,-0.067147267134118,-0.5657327704888557
7,21240.77515751766,0.6144953461878981,6411941.383852025,10434483.228602685,770.5237161702677,121126694961.1233,-0.06721159143219135,-0.5660919698639777
8,19179.79302370348,0.5732030013304883,6017527.830945846,10498074.533766015,909.2527101905891,162120531755.22577,-0.06719716449208657,-0.5660114307281243
9,35285.20585725621,0.5347436773945833,5647991.268502569,10562053.386065487,2084.6979980177794,377096165651.925,-0.06709546852796522,-0.5654433189073349
10,12100.644014820828,0.49881869206200397,5300657.99683771,10626422.147345733,976.7556853967301,161974312707.7722,-0.06718169255897632,-0.565925042636997
11,36384.34001144241,0.46535527229261214,4975198.466302066,10691183.193845274,1944.415619009404,324580421125.58014,-0.06708533641965497,-0.5653866798207361
12,69134.25494120321,0.43412691535380665,4669616.234226584,10756338.916284239,1613.3022833156535,258474436361.2741,-0.06710648572854105,-0.5655048980336119
