period_num,btc_price_usd,exchange_rate_btc_per_stbtc,stbtc_assets_btc,stbtc_supply,fees_total_btc,weighted_gas_score,weighted_mbar,weighted_k,weighted_s_eff,weighted_fee_return_period,weighted_fee_apy_annualized,stbtc_return_period,stbtc_apy_annualized
1,79739.85023475386,2.4675434994489795,781.7876182223432,316.82830247852655,737.475134579573,133574036936.64102,1.9820944218895922,0.5,0.745523605472398,1.8326837375933507,266916.51404412225,1.4675434994489795,50952.94443993207
2,91698.8541267479,4.611187953659996,1542.9061522775764,334.600577504749,933.0295343872788,154307576242.9023,1.9820944218895924,0.5,0.7455236054723982,0.8897500117363167,2073.207883327999,0.8687362369456537,1812.744404983187
3,134088.4519610956,7.660285257654459,2706.91329016829,353.3697765972143,1165.1768151205267,180832537051.7689,1.9820944218895924,0.5,0.7455236054723982,0.5630069067643614,211.5840934865119,0.6612389984178224,440.75900799843225
4,64909.098834456985,11.484474201215829,4285.911846753581,373.19182155503853,1117.8858776803147,163017639880.39734,1.9820944218895924,0.5,0.7455236054723982,0.30788215975070665,24.050903243693625,0.49922278543610243,127.94190697408806
5,106203.04586294528,15.924425607855397,6276.226521604014,394.12577107384016,750.4789992479289,94560266781.53549,1.9820944218895924,0.5,0.7455236054723982,0.13054393775607714,3.359627129907463,0.38660467417563815,49.51634472259188
6,121376.03745350274,22.68141936880322,9440.777834884571,416.2339967078838,1598.9177736837985,226488822525.70163,1.9820944218895924,0.5,0.7455236054723982,0.18992796696987255,7.0583859328843985,0.424316325583175,68.70716602376457
7,200733.74607003236,30.364596815649886,13347.741392925984,439.5823687027048,698.724348905135,105379935038.81541,1.9820944218895922,0.5,0.745523605472398,0.055177179776678756,0.9050425588289874,0.3387432383272435,32.14114309701979
8,232216.96935684793,40.47445792366102,18789.880651130585,464.24045225189246,824.5262210433489,141044475045.796,1.9820944218895924,0.5,0.7455236054723982,0.04605301698791893,0.7165021694280633,0.332948965843028,30.460256892890328
9,500735.4087070327,54.694590171886794,26815.757457719523,490.2817147627685,1890.440515664712,328072762594.08057,1.9820944218895924,0.5,0.7455236054723982,0.07500675791065518,1.3819592798853368,0.35133595303602094,36.08172926205111
10,248302.6512604549,72.16082622582273,37363.70282735205,517.783744748497,885.7390966631928,140917264824.077,1.9820944218895922,0.5,0.745523605472398,0.024625051367404678,0.33899710612717815,0.3193411999074387,26.815411911302906
11,822968.7126879233,95.68852845666854,52325.212856347884,546.8284829988033,1763.230006917918,282384190405.4522,1.9820944218895924,0.5,0.7455236054723982,0.03518199462480116,0.5142602224917214,0.3260453553735285,28.559735555456946
12,1825466.9105172371,126.01607030377272,72774.5914465455,577.5024667180622,1462.970657281886,224872141699.95947,1.9820944218895924,0.5,0.7455236054723982,0.02084423740638064,0.2808957325409933,0.31694020522886057,26.214018693972818
