period_num,btc_price_usd,exchange_rate_btc_per_stbtc,stbtc_assets_btc,stbtc_supply,fees_total_btc,weighted_gas_score,stbtc_return_period,stbtc_apy_annualized
1,37049.476095882324,0.932759669837012,9384442.25891121,10060943.415950887,549.4867371962306,83995319141.85268,-0.06724033016298803,-0.9732066188935791
2,33227.774888235195,0.8700494697586922,8806865.416122647,10122258.241896551,695.1927333122383,97033184066.12408,-0.06723082280055859,-0.9731924141290469
3,39216.15323459913,0.8115659210510395,8264944.117067384,10183946.74133637,868.1637880065928,113712866730.97226,-0.06721864760617935,-0.9731742126229109
4,13083.617753530658,0.7570144448357644,7756378.47396305,10246011.191564264,832.9276943479404,102510330611.63327,-0.0672175541139367,-0.9731725772957295
5,17557.694677028452,0.7061189933380697,7278995.079267412,10308453.883752758,559.175811217187,59462302469.91243,-0.06723181023148983,-0.9731938897739656
6,15635.41907785353,0.6586774710724081,6831326.587193504,10371277.123037565,1191.3406558547135,142422894197.1149,-0.06718629963682043,-0.9731257945951646
7,21240.77515751766,0.6143947401350647,6410891.611681038,10434483.228602685,520.6138413037119,66266031017.17704,-0.06722976400763447,-0.9731908317502175
8,19179.79302370348,0.5730951171423518,6016395.254697775,10498074.533766015,614.3477951865268,88692952360.84094,-0.06722001393376809,-0.9731762558403291
9,35285.20585725621,0.5346110420509623,5646590.366922365,10562053.386065487,1408.5518848148763,206301890904.96786,-0.06715128770121837,-0.9730732925877339
10,12100.644014820828,0.4986800726069868,5299184.967990863,10626422.147345733,659.9570119880153,88612958797.59735,-0.06720955352162428,-0.9731606093651161
11,36384.34001144241,0.4651964836402699,4973500.827730771,10691183.193845274,1313.768367227944,177571560594.29727,-0.06714442947694355,-0.9730629965889435
12,69134.25494120321,0.4339544849527126,4667761.514392946,10756338.916284239,1090.047562812994,141406277307.91254,-0.06715871634084902,-0.973084440575451
13,31065.070692615005,0.4047965767694089,4380664.722406032,10821891.71995262,718.2500788091882,111485670876.45944,-0.06719116680285264,-0.9731330851811894
14,38252.81336511184,0.37758245302007043,4111058.8549835505,10887844.024799073,339.393069866327,52218010925.409645,-0.06722913510417583,-0.9731898918030267
15,39647.62381125627,0.35219736206042024,3858039.732603061,10954198.265520245,306.4729220334681,51413371829.88162,-0.06723058965428363,-0.9731920656969842
16,7123.6495025907025,0.32858245133218295,3621293.031484887,11020956.891650653,1687.8364965043088,242124734876.99933,-0.06705022033693175,-0.9729211724639806
17,8327.748747038291,0.30661405664766733,3399774.1797518604,11088122.367653118,2984.2734394594763,396463928892.83734,-0.06685808872460597,-0.9726296605670101
18,3785.86299350785,0.2860361941035885,3190933.1619398673,11155697.17300974,1056.2403181476782,129135680663.79544,-0.06711323925936319,-0.9730161231360103
19,2250.748972746178,0.2668107635146043,2994599.6447417424,11223683.802313427,349.02497473031076,43100275088.79763,-0.0672132792468273,-0.9731661832563819
20,1009.3977706298842,0.2488773167853787,2810343.7573158466,11292084.765359988,322.5729835124282,37806368483.1684,-0.06721410520698123,-0.973167418784771
21,520.4230090813061,0.2322086258834982,2638099.578579463,11360902.58724079,1651.8381766580442,182937376268.07077,-0.06697553283353208,-0.9728082163543863
22,400.2261335705209,0.216656108067547,2476409.6055636727,11430139.808435962,1545.5375129343288,177577554015.58954,-0.06697648615238805,-0.972809661045079
23,314.0037788965486,0.20232437710676032,2326689.6664745044,11499798.984908191,5570.817807346584,673479653410.1367,-0.06614967419390028,-0.9715279799212192
