period_num,btc_price_usd,exchange_rate_btc_per_stbtc,stbtc_assets_btc,stbtc_supply,fees_total_btc,weighted_gas_score,weighted_mbar,weighted_k,weighted_s_eff,weighted_fee_return_period,weighted_fee_apy_annualized,stbtc_return_period,stbtc_apy_annualized
1,79739.85023475386,1.2831602818724857,415.4360952244815,323.760095362557,64.77208858384962,10379286714.3767,1.7535949143046523,0.5,0.688398728576163,0.14863007809448228,4.274268254394887,0.28316028187248565,18.923741542141578
2,91698.8541267479,1.6354127834318222,571.4164938087375,349.4019978305734,81.94753805107445,11990373374.620127,1.7535949143046525,0.5,0.6883987285761631,0.13579123637252505,3.608739495657847,0.2745194864084344,17.372055916806232
3,134088.4519610956,2.070603218212794,780.7721849037617,377.0747471249813,102.33692275992432,14051478808.256313,1.753594914304652,0.5,0.688398728576163,0.12328766893786794,3.035449310768641,0.2661043371984344,15.968129039324825
4,64909.098834456985,2.570427741202434,1046.0077751443137,406.9391869599867,98.18338232789746,12667183403.480072,1.753594914304652,0.5,0.688398728576163,0.08656726874839042,1.7081918132105631,0.24139077858724445,12.393749739632243
5,106203.04586294528,3.1161926037045964,1368.5348777174142,439.1688999230891,65.9142118022973,7347746187.97404,1.7535949143046516,0.5,0.6883987285761629,0.04337946684339046,0.664590567750919,0.2123245301759995,9.079215091612152
6,121376.03745350274,3.8350091973078917,1817.6072739611914,473.95121639789534,140.43218383814408,17599171818.928425,1.7535949143046523,0.5,0.688398728576163,0.0706400241450874,1.2684107511939349,0.23067142664697649,11.069948269860074
7,200733.74607003236,4.597301952134956,2351.466175687164,511.48830339394164,61.36862559952899,8188481719.909912,1.7535949143046523,0.5,0.688398728576163,0.023242690784964555,0.317479338204504,0.19877207996324486,7.807231931868532
8,232216.96935684793,5.504798562671492,3038.6396664941976,551.9983396121835,72.41774390071193,10959772419.496956,1.753594914304652,0.5,0.688398728576163,0.02120051027867158,0.2862704061049597,0.1973976519238856,7.6868200685703965
9,500735.4087070327,6.652246978388107,3962.8551735188316,595.7167835760456,166.03648692906683,25492688131.87694,1.753594914304652,0.5,0.688398728576163,0.03761528810393438,0.5575297243607154,0.20844512340516164,8.698916084198789
10,248302.6512604549,7.930970883225021,5098.803274270219,642.8977421988542,77.79404150887606,10949887629.050388,1.7535949143046516,0.5,0.6883987285761629,0.013513821959321985,0.17477882517408738,0.19222435802387472,7.246997947795229
11,822968.7126879233,9.494966841915765,6587.7546707215615,693.8154477422455,154.8636487478294,21942486302.301277,1.753594914304652,0.5,0.688398728576163,0.0209084236370994,0.28186251242992433,0.1972010718131354,7.669721839289904
12,1825466.9105172371,11.319575887197805,8475.71188062811,748.7658517501487,128.49201358233802,17473548649.929104,1.753594914304652,0.5,0.688398728576163,0.013426993445186107,0.173571663538856,0.19216592070940774,7.242148499696485
