period_num,btc_price_usd,exchange_rate_btc_per_stbtc,stbtc_assets_btc,stbtc_supply,fees_total_btc,weighted_gas_score,weighted_mbar,weighted_k,weighted_s_eff,weighted_fee_return_period,weighted_fee_apy_annualized,stbtc_return_period,stbtc_apy_annualized
1,79739.85023475386,2.1837506496054493,691.8740113508742,316.82830247852655,647.7208858384962,103792867143.76698,1.7535949143046523,0.5,0.688398728576163,1.4863007809448228,55800.258858094036,1.1837506496054493,11759.791919305166
2,91698.8541267479,3.7611045953598388,1258.4677696631675,334.600577504749,819.4753805107445,119903733746.20123,1.753594914304652,0.5,0.688398728576163,0.81535915612962,1280.0046907396406,0.7223141277779948,680.3156553618755
3,134088.4519610956,5.816745325041281,2055.461996032728,353.3697765972143,1023.3692275992431,140514788082.5631,1.7535949143046523,0.5,0.688398728576163,0.559796676661689,206.4034079687462,0.546552396393744,186.23009563154457
4,64909.098834456985,8.071925528465913,3012.376591424811,373.19182155503853,981.8338232789746,126671834034.8007,1.753594914304652,0.5,0.688398728576163,0.328827853262609,29.312703550652706,0.38770482072096346,49.99941139475832
5,106203.04586294528,10.212195067272642,4024.889255245297,394.12577107384016,659.1421180229729,73477461879.74039,1.7535949143046519,0.5,0.688398728576163,0.15062943899168837,4.385496843653913,0.2651498123042635,15.815255273888702
6,121376.03745350274,13.548966418757871,5639.540443740492,416.2339967078838,1404.3218383814408,175991718189.28427,1.7535949143046525,0.5,0.6883987285761631,0.24018881185206828,12.238955104257363,0.326743793034143,28.747109651360212
7,200733.74607003236,16.435905954792005,7224.93447138236,439.5823687027048,613.6862559952898,81884817199.09914,1.753594914304652,0.5,0.688398728576163,0.07491050779513889,1.379401331415151,0.2130745214658818,9.154294961682297
8,232216.96935684793,19.87117178123845,9225.001774497181,464.24045225189246,724.1774390071193,109597724194.96959,1.7535949143046523,0.5,0.688398728576163,0.06900032522795456,1.2270709245484936,0.2090098249463923,8.753443257434043
9,500735.4087070327,24.774739654714605,12146.601840714635,490.2817147627685,1660.3648692906688,254926881318.76947,1.753594914304652,0.5,0.688398728576163,0.12390166342862559,3.061998586173514,0.24676792729988395,13.10676592035697
10,248302.6512604549,29.528449515223855,15289.35116660955,517.783744748497,777.9404150887606,109498876290.50388,1.7535949143046523,0.5,0.688398728576163,0.04408913700126748,0.678227862661313,0.1918772881879558,7.218234510980402
11,822968.7126879233,35.71494132138926,19529.947183166565,546.8284829988033,1548.6364874782937,219424863023.01276,1.7535949143046523,0.5,0.688398728576163,0.06972692152790143,1.2453037854794906,0.20950953767402725,8.801929362729165
12,1825466.9105172371,42.59735672052554,24600.078581772726,577.5024667180622,1284.9201358233802,174735486499.29102,1.753594914304652,0.5,0.688398728576163,0.0452913353798076,0.7015636744387577,0.19270409370697972,7.286908022435409
