period_num,btc_price_usd,exchange_rate_btc_per_stbtc,stbtc_assets_btc,stbtc_supply,fees_total_btc,weighted_gas_score,weighted_mbar,weighted_k,weighted_s_eff,weighted_fee_return_period,weighted_fee_apy_annualized,stbtc_return_period,stbtc_apy_annualized
1,79739.85023475386,2.3581376645685537,747.1247532759319,316.82830247852655,737.475134579573,133574036936.64102,1.9820944218895922,0.5,0.745523605472398,1.8326837375933507,266916.51404412225,1.3581376645685537,29567.538542763967
2,91698.8541267479,4.210561203875647,1408.8562104358828,334.600577504749,933.0295343872788,154307576242.9023,1.9820944218895924,0.5,0.7455236054723982,0.9310299778432534,2687.240942896697,0.7855451219579304,1049.1466591140843
3,134088.4519610956,6.677326944506225,2359.5655306467243,353.3697765972143,1165.1768151205267,180832537051.7689,1.9820944218895924,0.5,0.7455236054723982,0.6165759243469894,317.5321542682393,0.58585200907661,252.0182692888007
4,64909.098834456985,9.47244983848038,3535.0408098112234,373.19182155503853,1117.8858776803147,163017639880.39734,1.9820944218895924,0.5,0.7455236054723982,0.35320498592233557,36.70188561500945,0.4185990767269294,65.42263104604008
5,106203.04586294528,12.265001857204508,4833.953314192809,394.12577107384016,750.4789992479289,94560266781.53549,1.9820944218895924,0.5,0.7455236054723982,0.1582725177592819,4.830811799102138,0.29480779168445026,21.205658165232837
6,121376.03745350274,16.568754387854487,6896.47885932796,416.2339967078838,1598.9177736837985,226488822525.70163,1.9820944218895924,0.5,0.7455236054723982,0.24659546048795364,13.08336687032534,0.3508970141836496,35.93744924120618
7,200733.74607003236,20.582777915171324,9047.82627043273,439.5823687027048,698.724348905135,105379935038.81541,1.9820944218895922,0.5,0.745523605472398,0.0755335449368537,1.396003909418929,0.24226465269225472,12.507330804054558
8,232216.96935684793,25.469993963331987,11824.201516390212,464.24045225189246,824.5262210433489,141044475045.796,1.9820944218895924,0.5,0.7455236054723982,0.06793938596362654,1.2006918991653706,0.23744200458764864,11.89134547225302
9,500735.4087070327,32.34665752642373,15858.97471889904,490.2817147627685,1890.440515664712,328072762594.08057,1.9820944218895924,0.5,0.7455236054723982,0.11919350555856552,2.8624438279347957,0.26999078103401875,16.603816004675515
10,248302.6512604549,39.48684332161635,20445.645603363693,517.783744748497,885.7390966631928,140917264824.077,1.9820944218895922,0.5,0.745523605472398,0.04163821536743394,0.6315592795875962,0.22073952430354993,9.951562177969869
11,822968.7126879233,48.77126347849727,26669.5160218816,546.8284829988033,1763.230006917918,282384190405.4522,1.9820944218895924,0.5,0.7455236054723982,0.06429386567369157,1.1122178473602,0.23512692775313182,11.604890627522524
12,1825466.9105172371,59.514024106372375,34369.49572574827,577.5024667180622,1462.970657281886,224872141699.95947,1.9820944218895924,0.5,0.7455236054723982,0.04089609868518962,0.6176649266778955,0.22026824530825362,9.90093421500457
