period_num,btc_price_usd,exchange_rate_btc_per_stbtc,stbtc_assets_btc,stbtc_supply,fees_total_btc,weighted_gas_score,weighted_mbar,weighted_k,weighted_s_eff,weighted_fee_return_period,weighted_fee_apy_annualized,stbtc_return_period,stbtc_apy_annualized
1,79739.85023475386,1.6997018974952005,1795.0455563431165,1056.0943415950885,713.2576095777106,133822955452.24744,2.0532123729445653,0.5,0.7633030932361413,0.5444317396648825,183.17243026744646,0.6997018974952005,580.3974343628213
2,91698.8541267479,2.7195578462853627,3033.21875308218,1115.3352583491635,902.3903100704053,154595132220.89093,2.0532123729445653,0.5,0.7633030932361413,0.3837213560118694,48.27013195570666,0.6000204802342652,280.51821480553957
3,134088.4519610956,4.1824373032530655,4926.489784941305,1177.8992553240478,1126.9142387587372,181169522949.09277,2.0532123729445657,0.5,0.7633030932361414,0.2835855882080163,19.003131387419046,0.5379107706665796,174.05465424655225
4,64909.098834456985,6.131109892990263,7626.933563730514,1243.9727385167953,1081.176261419984,163321427277.01495,2.0532123729445653,0.5,0.7633030932361413,0.16751586234846788,5.414362166986371,0.46591794411874066,97.47271957305371
5,106203.04586294528,8.626910790984313,11333.626224939751,1313.7525702461342,725.8344477566834,94736482173.25693,2.0532123729445657,0.5,0.7633030932361414,0.07264147176850888,1.3198238553020079,0.4070716300237114,59.22745064018233
6,121376.03745350274,12.307272254772833,17075.683730587152,1387.4466556929463,1546.41182555826,226910890038.20245,2.0532123729445653,0.5,0.7633030932361413,0.10414856696686615,2.283448112238708,0.42661406301253724,70.0686408325638
7,200733.74607003236,16.993292473413753,24899.83919173688,1465.2745623423496,675.7793388355184,105576313149.45831,2.0532123729445653,0.5,0.7633030932361413,0.030208129162889386,0.4292219248948812,0.380752137568392,47.01629992482935
8,232216.96935684793,23.402788791638173,36215.07084195209,1547.468174172975,797.4500751008934,141307314907.25452,2.0532123729445657,0.5,0.7633030932361414,0.024445784743377125,0.3361885863377152,0.3771780146932777,45.54585068401822
9,500735.4087070327,32.43433948545863,53006.54526709477,1634.272382542562,1828.3614186131974,328684134286.87854,2.0532123729445653,0.5,0.7633030932361413,0.0385362749246481,0.574200502711701,0.38591771152707377,49.21683523640652
10,248302.6512604549,44.42423879073496,76673.8290622273,1725.9458158283235,856.6528160378851,141179867626.1467,2.0532123729445653,0.5,0.7633030932361413,0.012335943438990466,0.1584995869882917,0.36966682520702454,42.58923445997157
11,822968.7126879233,60.9742841142761,111141.58428049211,1822.7616099960112,1705.3283031527976,282910420315.98334,2.0532123729445653,0.5,0.7633030932361413,0.016976879656332867,0.223863422918124,0.3725453890499253,43.70134409510584
12,1825466.9105172371,83.41542610303179,160575.381122797,1925.008222393541,1414.9289989147692,225291196487.8277,2.0532123729445657,0.5,0.7633030932361414,0.009717512023721696,0.12304888777427658,0.3680427300580882,41.9730274219736
