period_num,btc_price_usd,exchange_rate_btc_per_stbtc,stbtc_assets_btc,stbtc_supply,fees_total_btc,weighted_gas_score,weighted_mbar,weighted_k,weighted_s_eff,weighted_fee_return_period,weighted_fee_apy_annualized,stbtc_return_period,stbtc_apy_annualized
1,79739.85023475386,2.48763707058195,788.1538302551337,316.82830247852655,713.2576095777106,133822955452.24744,2.0532123729445653,0.5,0.7633030932361413,1.8147724655496082,247353.33652026363,1.48763707058195,56161.21660639649
2,91698.8541267479,4.736658971407024,1584.8888272758409,334.600577504749,902.3903100704053,154595132220.89093,2.0532123729445653,0.5,0.7633030932361413,0.8739376610782824,1874.2607907997271,0.904079589189811,2270.0211121809243
3,134088.4519610956,8.04592793776167,2843.1877578841263,353.3697765972143,1126.9142387587372,181169522949.09277,2.0532123729445657,0.5,0.7633030932361414,0.5427365689332901,180.76124533904908,0.6986504593915546,576.0962482064389
4,64909.098834456985,12.407230710927152,4630.27702946452,373.19182155503853,1081.176261419984,163321427277.01495,2.0532123729445653,0.5,0.7633030932361413,0.2902605297124363,20.28770993849437,0.5420509364366457,179.794257827472
5,106203.04586294528,17.819655000639894,7023.18526739701,394.12577107384016,725.8344477566834,94736482173.25693,2.0532123729445657,0.5,0.7633030932361414,0.11965411046131193,2.8815621631235495,0.4362314537236722,76.03590757795922
6,121376.03745350274,26.128267601131515,10875.473250672083,416.2339967078838,1546.41182555826,226910890038.20245,2.0532123729445653,0.5,0.7633030932361413,0.1680691715972702,5.450936144284468,0.4662611369408254,97.74972290966348
7,200733.74607003236,36.35576336109411,15981.352574264758,439.5823687027048,675.7793388355184,105576313149.45831,2.0532123729445653,0.5,0.7633030932361413,0.047430070194540604,0.7438151743464132,0.3914341324152575,51.66860683511851
8,232216.96935684793,50.37598550368971,23386.57029286769,464.24045225189246,797.4500751008934,141307314907.25452,2.0532123729445657,0.5,0.7633030932361414,0.03808789689091188,0.5660640904295646,0.38563960281464627,49.096045934211816
9,500735.4087070327,70.4774706857836,34553.81517996873,490.2817147627685,1828.3614186131974,328684134286.87854,2.0532123729445653,0.5,0.7633030932361413,0.0596750147158899,1.0048059132475897,0.39902912034587557,55.2239108836691
10,248302.6512604549,96.81863036728984,50131.112992995884,517.783744748497,856.6528160378851,141179867626.1467,2.0532123729445653,0.5,0.7633030932361413,0.018923691664885514,0.2522756186144155,0.3737529089110694,44.17555539766397
11,822968.7126879233,133.42775499666286,72962.09685476116,546.8284829988033,1705.3283031527976,282910420315.98334,2.0532123729445653,0.5,0.7633030932361413,0.025965558932663956,0.36017060226257547,0.3781206622164881,45.92960836116146
12,1825466.9105172371,182.9556979112479,105657.3668438703,577.5024667180622,1414.9289989147692,225291196487.8277,2.0532123729445657,0.5,0.7633030932361414,0.014802475917476094,0.19282907856586706,0.3711967042825819,43.17709243207547
