period_num,btc_price_usd,exchange_rate_btc_per_stbtc,stbtc_assets_btc,stbtc_supply,fees_total_btc,weighted_gas_score,stbtc_return_period,stbtc_apy_annualized
1,37049.476095882324,0.932759669837012,9384442.25891121,10060943.415950887,549.4867371962306,83995319141.85268,-0.06724033016298803,-0.5662523644800548
2,33227.774888235195,0.8700494697586922,8806865.416122647,10122258.241896551,695.1927333122383,97033184066.12408,-0.06723082280055859,-0.5661993086634929
3,39216.15323459913,0.8115659210510395,8264944.117067384,10183946.74133637,868.1637880065928,113712866730.97226,-0.06721864760617935,-0.5661313563290697
4,13083.617753530658,0.7570144448357644,7756378.47396305,10246011.191564264,832.9276943479404,102510330611.63327,-0.0672175541139367,-0.5661252528401364
5,17557.694677028452,0.7061189933380697,7278995.079267412,10308453.883752758,559.175811217187,59462302469.91243,-0.06723181023148983,-0.5662048192966115
6,15635.41907785353,0.6586774710724081,6831326.587193504,10371277.123037565,1191.3406558547135,142422894197.1149,-0.06718629963682043,-0.5659507680685969
7,21240.77515751766,0.6143947401350647,6410891.611681038,10434483.228602685,520.6138413037119,66266031017.17704,-0.06722976400763447,-0.5661933997036193
8,19179.79302370348,0.5730951171423518,6016395.254697775,10498074.533766015,614.3477951865268,88692952360.84094,-0.06722001393376809,-0.5661389825782916
9,35285.20585725621,0.5346110420509623,5646590.366922365,10562053.386065487,1408.5518848148763,206301890904.96786,-0.06715128770121837,-0.5657552301001469
10,12100.644014820828,0.4986800726069868,5299184.967990863,10626422.147345733,659.9570119880153,88612958797.59735,-0.06720955352162428,-0.5660805939543652
11,36384.34001144241,0.4651964836402699,4973500.827730771,10691183.193845274,1313.768367227944,177571560594.29727,-0.06714442947694355,-0.5657169181842856
12,69134.25494120321,0.4339544849527126,4667761.514392946,10756338.916284239,1090.047562812994,141406277307.91254,-0.06715871634084902,-0.5657967250167033
