period_num,btc_price_usd,exchange_rate_btc_per_stbtc,stbtc_assets_btc,stbtc_supply,fees_total_btc,weighted_gas_score,stbtc_return_period,stbtc_apy_annualized
1,37049.476095882324,0.9327716914562263,9384563.207741892,10060943.415950887,791.3843985614931,154269285861.04633,-0.06722830854377371,-0.973188656392359
2,33227.774888235195,0.8700757999437106,8807131.93705496,10122258.241896551,1001.2337803526518,178215169174.17886,-0.06721461648845273,-0.9731681835670394
3,39216.15323459913,0.8116092442647093,8265385.31836806,10183946.74133637,1250.3509743113375,208849765951.52313,-0.06719708292402093,-0.9731419443977204
4,13083.617753530658,0.75707274736668,7756975.842347307,10246011.191564264,1199.6030801401434,188274723620.36206,-0.06719550976460054,-0.9731395889176769
5,17557.694677028452,0.7061853138573367,7279678.741281823,10308453.883752758,805.3388427684947,109210930220.9455,-0.06721604190131603,-0.9731703156074698
6,15635.41907785353,0.6587646145068222,6832230.375901266,10371277.123037565,1715.7982979282442,261579792809.0074,-0.06715050344433304,-0.9730721154073155
7,21240.77515751766,0.6144870038333367,6411854.335693265,10434483.228602685,749.8009393005468,121706940176.05183,-0.06721309812099363,-0.9731659123083591
8,19179.79302370348,0.5731940554656653,6017433.916590165,10498074.533766015,884.798899573156,162897153810.52768,-0.06719905890616851,-0.9731449027342345
9,35285.20585725621,0.534732679139183,5647875.104341877,10562053.386065487,2028.6312857971652,378902606798.178,-0.06710009631072689,-0.9729963476301138
10,12100.644014820828,0.49880719759809933,5300535.851811902,10626422.147345733,950.4864224267183,162750234315.47546,-0.06718400229235433,-0.9731223527014661
11,36384.34001144241,0.4653421053786851,4975057.696413174,10691183.193845274,1892.121717901462,326135290894.6103,-0.06709023522627244,-0.9729815008407009
12,69134.25494120321,0.434112617252424,4669462.439002253,10756338.916284239,1569.9134783522854,259712632077.98297,-0.06711081538784724,-0.9730124771321008
13,31065.070692615005,0.4049586807640244,4382418.994283132,10821891.71995262,1034.4415400005646,204759205698.18195,-0.06715754237441895,-0.9730826791323781
14,38252.81336511184,0.3777405139481067,4112779.7977144243,10887844.024799073,488.8022991102403,95905763997.9053,-0.06721220734067468,-0.9731645797417457
15,39647.62381125627,0.3523509488340972,3859722.1525728796,10954198.265520245,441.3898874364009,94427930472.04712,-0.0672143023490922,-0.973167713675343
16,7123.6495025907025,0.3287594164361785,3623243.3562673484,11020956.891650653,2430.8638957725916,444696327371.39185,-0.06695464415799435,-0.9727765420657113
17,8327.748747038291,0.30683835909296703,3402261.2727127075,11088122.367653118,4298.024467488233,728162090516.8647,-0.06667811246546296,-0.9723538006383364
18,3785.86299350785,0.28626624886593893,3193499.5832018577,11155697.17300974,1521.2234478649293,237175945501.675,-0.06704543163325638,-0.9729139439380667
19,2250.748972746178,0.2670321879117671,2997084.8421616154,11223683.802313427,502.6744068824488,79159752308.74988,-0.06718941206086548,-0.973130456955882
20,1009.3977706298842,0.24909013428056517,2812746.910511044,11292084.765359988,464.5775944506646,69436743933.8872,-0.06719060264424126,-0.9731322402206808
21,520.4230090813061,0.2324391312697363,2640718.3278183485,11360902.58724079,2379.018224581103,335990370445.6157,-0.06684730031127539,-0.9726132008846241
22,400.2261335705209,0.21690087061054267,2479207.2756499816,11430139.808435962,2225.9213777728824,326146298660.66284,-0.06684872970533573,-0.9726153822424506
23,314.0037788965486,0.20265930351868283,2330541.25288635,11499798.984908191,8023.229682408565,1236940656158.0347,-0.06565933576832594,-0.9707400871019443
24,65.50218804984446,0.189068703480357,2187502.7192772487,11569882.688197076,967.5347608850055,151461088109.9434,-0.06706131819441952,-0.9729379173558281
25,38.363969333333664,0.17638735730719088,2053218.2484534113,11640393.505514052,858.1052262853212,142720851660.94766,-0.06707268807438371,-0.9729550621540629
26,9.499791040033564,0.16454991337657304,1927099.0017794387,11711334.039837906,649.2056677167867,114568373231.40735,-0.06711050106613992,-0.9730120042918761
27,2.495895331995801,0.15352391542652802,1808927.299148076,11782706.910010869,1010.6279495118026,183880571233.44937,-0.06700701157351563,-0.9728558804942987
28,1.3731187805679117,0.14332889084191291,1699094.450706317,11854514.750835286,3133.5416839129084,612065658276.4625,-0.0664067520444015,-0.9719327082633852
29,1.9764945679798915,0.13381832314859227,1596019.052321876,11926760.213170895,3120.7146123644297,571037306241.5494,-0.06635485447110934,-0.9718514609597576
30,2.3774061933971327,0.12484114021872111,1498024.51614277,11999445.964032672,587.003288329804,124716697691.6986,-0.06708485593488467,-0.9729733984374432
31,1.0642641493146245,0.11646078654191461,1405981.5435978437,12072574.686689297,420.48682100345513,83305351825.16714,-0.06712814110896592,-0.9730385279861855
32,0.4377737570567266,0.10869720079538346,1320252.4055222713,12146149.080762202,1711.5452678737947,360444636231.95526,-0.0666626593985522,-0.9723299881167506
33,0.16398489548135786,0.10139688872726342,1239087.4065522277,12220171.86232524,280.8658606370909,62403037330.15059,-0.06716191414958772,-0.9730892380592662
34,0.13348198144262818,0.09477975357627777,1165283.4958200157,12294645.764004942,5006.233742959901,1259815591668.9001,-0.0652597454817807,-0.970082232041839
35,0.20505670062049433,0.08841570511402518,1093664.5660640069,12369573.535081398,286.02655358838604,73220777345.17126,-0.06714565318141363,-0.9730648339742323
36,0.151067448352971,0.08255868590632644,1027439.3738171512,12444957.941589752,2252.448882730149,591886505659.4163,-0.06624410448511653,-0.9716773062115626
37,0.19093627824825182,0.07702320368559107,964392.2647620543,12520801.766422313,451.89033123802363,117280351665.03114,-0.06704905922335169,-0.9729194199422131
38,0.17844260240696397,0.07184934935106234,905093.9998128237,12597107.809431281,184.28698151954993,50335588094.427475,-0.0671726711816405,-0.9731053700450842
39,0.4316501948854196,0.0670226870604287,849437.4185208392,12673878.887532115,164.09473047210773,44649609640.99095,-0.0671775365292473,-0.9731126633399062
