period_num,Lending,AMM,Perpetuals,InterestTokenisation,RoutersZaps
1,323.4536707568964,53.90902484009204,90.56731478212448,194.07268073779363,129.38170744458645
2,409.2230553565872,68.20394341091662,114.58281856519194,245.53443832286484,163.68952469709114
3,511.0419324800961,85.17378135771473,143.09219449414226,306.6259151542499,204.41715082513457
4,490.30031477485426,81.71683996181395,137.28452313457683,294.180913860942,196.1204884079564
5,329.1571142545588,54.85960016196134,92.164284021602,197.4947552699445,131.66308906042815
6,701.2789976048558,116.8800057617184,196.35874150863236,420.76843552836806,280.5121175246696
7,306.4577297639078,51.07636381934143,85.80843622517865,183.87509101048548,122.58331848163351
8,361.633932219049,60.27241115983288,101.25782186530269,216.98089407137766,144.65384025759374
9,829.1397166738425,138.19015711734366,232.15985628680747,497.4850560345248,331.6564996846467
10,388.4816568248573,64.74703854398851,108.77520857440432,233.0895685339882,155.39294994947983
11,773.3456917858576,128.8911392191182,216.5374798173511,464.00855860036626,309.33884847876885
12,641.6531312302802,106.94234667138493,179.66344602329602,384.9928275361974,256.66172689112676
