period_num,LiquidStaking,Lending,AMM
1,25.876293660551703,25.876293660551703,10.781804968018402
2,32.73784442852698,32.73784442852698,13.640788682183324
3,40.88335459840769,40.88335459840769,17.034756271542946
4,39.22402518198834,39.22402518198834,16.34336799236279
5,26.332569140364704,26.332569140364704,10.97192003239227
6,56.10231980838845,56.10231980838845,23.376001152343672
7,24.51661838111262,24.51661838111262,10.215272763868287
8,28.93071457752391,28.93071457752391,12.054482231966572
9,66.33117733390739,66.33117733390739,27.63803142346872
10,31.078532545988576,31.078532545988576,12.9494077087977
11,61.8676553428686,61.8676553428686,25.778227843823636
12,51.332250498422425,51.332250498422425,21.388469334276984
